,Unnamed: 0,title,lyrics,is_alternate_or_duplicate_song,lyrics_formatted
14,14,Dashboard,"Dashboard Lyrics[Verse]
Well, it would've been, could've been
Worse than you would ever know
Oh, the dashboard melted
But we still have the radio
Oh, it should've been, could've been
Worse than you would ever know
Well, you told me about nowhere
Well it sounds like someplace I'd like to go
Oh, it could've been, should've been
Worse than you would ever know
Well, the windshield was broken
But I love the fresh air you know
(The dashboard melted but we still have the radio)
Well, it would've been, could've been
Worse than you would ever know, oh!
(The dashboard melted but we still have the radio)
Oh, we talked about nothing
Which was more than I wanted you to know-oh-oh-oh-oh
Now here we go!
Oh! It would've been, could've been
Worse than it had even gone
Well, the car was on blocks
But I was already where I want
(It was impossible, we ran it good, we ran it good)
Why should we ever even ever really even get to know?
(It was impossible, we ran it good, we ran it good)
Oh if the world don't like us
It'll shake us just like we were a co-oh-oh-oh-old
Now here we go!

[Chorus]
Well we scheme and we scheme but would always blow it
We've yet to crash, but we still might as well tow it
Standing at a light switch to each East and West horizon
Every dawn one yells ""Surprise""
And in the evening one's consoling
Saying ""See it wasn't quite as bad as""

[Bridge]
Well, it would've been, could've been
Worse than you would ever know
I was patiently erasing and recording the wrong episodes
After you had proved my point wrong
It wasn't like I'd let it go, oh-oh-oh. oh-oh-oh
I just wanted to catch the last laugh of this show
[Verse]
Yeah, it would've been, could've been
Worse than you would ever know
Oh, the dashboard melted, but we still have the radio
(The dashboard melted, but we ran it good, we ran it good)
Hard-wired to conceive, so much we had to stow it
Even needs have needs, tiny giants made of tinier giants
Don't wear eyelids so I don't miss the last laugh of this show
(The dashboard melted but we still have the radio)
Well, we could've been, should've been
Worse than you would ever know
(The dashboard melted but we still have the radio)
Well, you told me about nowhere
Well it sounds like the place I'd like to go-oh-oh-oh-oh
Now here we go!

Well we scheme and we scheme but we always blow it
We've yet to crash, but we still might as well tow it
Standing at a light switch to each East and West horizon
Every dawn one yells ""Surprise""
And in the evening one's consoling
Saying ""See it wasn't quite as bad as""

[Outro]
Oh it would've been, could've been worse than you would ever know!15Embed",False,"Well, it would've been, could've been
Worse than you would ever know
Oh, the dashboard melted
But we still have the radio
Oh, it should've been, could've been
Worse than you would ever know
Well, you told me about nowhere
Well it sounds like someplace I'd like to go
Oh, it could've been, should've been
Worse than you would ever know
Well, the windshield was broken
But I love the fresh air you know
(The dashboard melted but we still have the radio)
Well, it would've been, could've been
Worse than you would ever know, oh!
(The dashboard melted but we still have the radio)
Oh, we talked about nothing
Which was more than I wanted you to know-oh-oh-oh-oh
Now here we go!
Oh! It would've been, could've been
Worse than it had even gone
Well, the car was on blocks
But I was already where I want
(It was impossible, we ran it good, we ran it good)
Why should we ever even ever really even get to know?
(It was impossible, we ran it good, we ran it good)
Oh if the world don't like us
It'll shake us just like we were a co-oh-oh-oh-old
Now here we go!
Well we scheme and we scheme but would always blow it
We've yet to crash, but we still might as well tow it
Standing at a light switch to each East and West horizon
Every dawn one yells ""Surprise""
And in the evening one's consoling
Saying ""See it wasn't quite as bad as""
Well, it would've been, could've been
Worse than you would ever know
I was patiently erasing and recording the wrong episodes
After you had proved my point wrong
It wasn't like I'd let it go, oh-oh-oh. oh-oh-oh
I just wanted to catch the last laugh of this show
Yeah, it would've been, could've been
Worse than you would ever know
Oh, the dashboard melted, but we still have the radio
(The dashboard melted, but we ran it good, we ran it good)
Hard-wired to conceive, so much we had to stow it
Even needs have needs, tiny giants made of tinier giants
Don't wear eyelids so I don't miss the last laugh of this show
(The dashboard melted but we still have the radio)
Well, we could've been, should've been
Worse than you would ever know
(The dashboard melted but we still have the radio)
Well, you told me about nowhere
Well it sounds like the place I'd like to go-oh-oh-oh-oh
Now here we go!
Well we scheme and we scheme but we always blow it
We've yet to crash, but we still might as well tow it
Standing at a light switch to each East and West horizon
Every dawn one yells ""Surprise""
And in the evening one's consoling
Saying ""See it wasn't quite as bad as""
Oh it would've been, could've been worse than you would ever know!"
15,15,Bankrupt on Selling,"Bankrupt on Selling LyricsWell all the Apostles, they're sitting in swings
Saying, ""I'd sell off my Savior for a set of new rings
And some sandals with the style of straps
That cling best to the era""
So all of the businessers in their unlimited hell
Where they buy and they sell and they sell all their trash
To each other, but they're sick of it all
And they're bankrupt on selling

And all of the angels, they'd sell off your soul
For a set of new wings and anything gold
They remember the people they loved, their old friends
And I've seen through 'em all, seen through 'em all
Seen through most everything
All the people you knew were the actors
All the people you knew were the actors
Well, I'll go to college and I'll learn some big words
And I'll talk real loud, goddamn right I'll be heard
You'll remember the guy that said all those big words
He must've learned in college
And it took a long time till I came clean with myself
I come clean out of love with my lover
I still love her, loved her more
When she used to be sober and I was kinder9Embed",False,"Well all the Apostles, they're sitting in swings
Saying, ""I'd sell off my Savior for a set of new rings
And some sandals with the style of straps
That cling best to the era""
So all of the businessers in their unlimited hell
Where they buy and they sell and they sell all their trash
To each other, but they're sick of it all
And they're bankrupt on selling
And all of the angels, they'd sell off your soul
For a set of new wings and anything gold
They remember the people they loved, their old friends
And I've seen through 'em all, seen through 'em all
Seen through most everything
All the people you knew were the actors
All the people you knew were the actors
Well, I'll go to college and I'll learn some big words
And I'll talk real loud, goddamn right I'll be heard
You'll remember the guy that said all those big words
He must've learned in college
And it took a long time till I came clean with myself
I come clean out of love with my lover
I still love her, loved her more
When she used to be sober and I was kinder"
16,16,Gravity Rides Everything,"Gravity Rides Everything Lyrics[Verse 1]
Oh, gotta see, gotta know right now
What's that riding on your everything?
It isn't anything at all

[Verse 2]
Oh, gotta see, gotta know right now
What's that writing on your shelf
In the bathrooms and the bad motels?
No one really cared for it at all
Not the gravity plan
[Pre-Chorus]
Early, early in the morning
It pulls all on down my sore feet
I wanna go back to sleep

[Chorus]
In the motions and the things that you say
It all will fall, fall right into place
As fruit drops, flesh it sags
Everything will fall right into place
When we die, some sink and some lay
But at least I don't see you float away
And all the spilt milk, sex and weight
It all will fall, fall right into place

[Verse 3]
Oh, gotta see, gotta know right now
What's that riding on your everything?
It isn't anything at all

[Pre-Chorus]
Early, early in the morning
It pulls all on down my sore feet
I wanna go back to sleep

[Chorus]
In the motions and the things that you say
It all will fall, fall right into place
As fruit drops, flesh it sags
Everything will fall right into place
When we die, some sink and some lay
But at least I don't see you float away5Embed",False,"Oh, gotta see, gotta know right now
What's that riding on your everything?
It isn't anything at all
Oh, gotta see, gotta know right now
What's that writing on your shelf
In the bathrooms and the bad motels?
No one really cared for it at all
Not the gravity plan
Early, early in the morning
It pulls all on down my sore feet
I wanna go back to sleep
In the motions and the things that you say
It all will fall, fall right into place
As fruit drops, flesh it sags
Everything will fall right into place
When we die, some sink and some lay
But at least I don't see you float away
And all the spilt milk, sex and weight
It all will fall, fall right into place
Oh, gotta see, gotta know right now
What's that riding on your everything?
It isn't anything at all
Early, early in the morning
It pulls all on down my sore feet
I wanna go back to sleep
In the motions and the things that you say
It all will fall, fall right into place
As fruit drops, flesh it sags
Everything will fall right into place
When we die, some sink and some lay
But at least I don't see you float away"
17,17,Missed the Boat,"Missed the Boat Lyrics[Verse 1]
While we're on the subject
Could we change the subject now?
I was knocking on your ear's door
But you were always out
Looking towards the future
We were begging for the past
Well, we knew we had the good things
But those never seemed to last
Oh, please just last
[Verse 2]
Everyone's unhappy
Everyone's ashamed
Well, we all just got caught looking
At somebody else's page
Well, nothing ever went
Quite exactly as we planned
Our ideas held no water
But we used them like a dam

[Chorus]
Oh, and we carried it all so well
As if we got a new position
Oh, and I laugh all the way to Hell
Say, ""Yes, this is a fine promotion""
Oh, and I laugh all the way to Hell

[Verse 3]
Of course, everyone goes crazy
Over such and such and such
We made ourselves a pillar
We just used it as a crutch
We were certainly uncertain
At least, I'm pretty sure I am
Well, we didn't need the water
But we just built that good-God-dam
[Chorus 2]
Oh, and I know this of myself
I assume as much for other people
Oh, and I know this of myself
We've listened more to life's end-gong than
The sound of life's sweet bells

[Verse 4]
Was it ever worth it?
Was there all that much to gain?
Well, we knew we'd missed the boat
And we'd already missed the plane
We didn't read the invite
We just danced at our own wake
All our favorites were a-playing
So we could shake, shake, shake, shake, shake

[Verse 5]
Tiny curtain's open
And we heard the tiny clap of little hands
A tiny man would tell a little joke
And get a tiny laugh from all the folks
Sittin', driftin' around on bubbles, and
Thinkin' it was us that carried them
When we finally got it figured out
That we had truly missed the boat
[Chorus]
Oh, and we carried it all so well
As if we got a new position
Oh, and we owned all the tools ourselves
But not the skills to make a shelf with
Oh, what useless tools ourselves8Embed",False,"While we're on the subject
Could we change the subject now?
I was knocking on your ear's door
But you were always out
Looking towards the future
We were begging for the past
Well, we knew we had the good things
But those never seemed to last
Oh, please just last
Everyone's unhappy
Everyone's ashamed
Well, we all just got caught looking
At somebody else's page
Well, nothing ever went
Quite exactly as we planned
Our ideas held no water
But we used them like a dam
Oh, and we carried it all so well
As if we got a new position
Oh, and I laugh all the way to Hell
Say, ""Yes, this is a fine promotion""
Oh, and I laugh all the way to Hell
Of course, everyone goes crazy
Over such and such and such
We made ourselves a pillar
We just used it as a crutch
We were certainly uncertain
At least, I'm pretty sure I am
Well, we didn't need the water
But we just built that good-God-dam
Oh, and I know this of myself
I assume as much for other people
Oh, and I know this of myself
We've listened more to life's end-gong than
The sound of life's sweet bells
Was it ever worth it?
Was there all that much to gain?
Well, we knew we'd missed the boat
And we'd already missed the plane
We didn't read the invite
We just danced at our own wake
All our favorites were a-playing
So we could shake, shake, shake, shake, shake
Tiny curtain's open
And we heard the tiny clap of little hands
A tiny man would tell a little joke
And get a tiny laugh from all the folks
Sittin', driftin' around on bubbles, and
Thinkin' it was us that carried them
When we finally got it figured out
That we had truly missed the boat
Oh, and we carried it all so well
As if we got a new position
Oh, and we owned all the tools ourselves
But not the skills to make a shelf with
Oh, what useless tools ourselves"
18,18,"Styrofoam Boots/It’s All Nice on Ice, Alright","Styrofoam Boots/It’s All Nice on Ice, Alright Lyrics[Styrofoam Boots]

[Verse 1]
Well, all's not well but I'm told that it'll all be quite nice
You'll be drowned in boots like mafia
But your feet will still float like Christ's
Well, I'll be damned
They were right
I'm drowning upside down
My feet afloat like Christ's
I'm in heaven trying to figure out which stack
They're going to stuff us Atheists into
And Peter and his monkey laugh and I'll laugh with them
I'm not sure what at
They point and say:
""We'll keep you in the back,""
Polishing halos, baking manna and gas
[Verse 2]
Well, some guy comes in looking a bit like everyone I ever seen
He moves just like Crisco disco
Breathin' a hundred percent Listerine
He says looking at something else but directing everything to me
""Any time anyone gets on their knees to pray
Well, it makes my telephone ring"" and I'll be damned
He said, ""You were right, no one's running this whole thing""
He had a theory, too

[Chorus]
He said that God takes care of himself, God takes care of himself
And you of you
He said that God takes care of himself, God takes care of himself
And you of you
He said that God takes care of himself, God takes care of himself
And you of you
[It's All Nice on Ice, Alright]

[Verse 3]
It's all nice, it's all nice
It's all nice on ice, alright
It's all nice, it's all nice
It's all nice on ice (On ice)
(On ice)
It's all nice, it's all nice
It's all nice on ice, alright
I said it's all nice, it's all nice
It's all nice on ice, alright
I said it's not day and it ain't night
It's all nice on ice, alright
Alright
It's all nice, it's all nice
It's all nice on ice, alright
It's all nice, it's all nice
It's all nice on ice, alright
It's all nice, it's all nice, it's all nice, it's all nice
It's all nice, it's all nice, it's all nice on ice

It's all nice on ice, alright
It's all nice
It's all nice on ice, alright
It's all nice on ice, alright

It's all nice, it's all nice
It's all nice on ice, alright
Well, it's all nice, it's all nice
It's all nice on ice, alright

Now it's all nice, it's all nice
It's all nice on ice, alright

It's all nice, it's all nice
It's all nice on ice, alright

[Outro]
""One, two, three
Four""4Embed",False,"Well, all's not well but I'm told that it'll all be quite nice
You'll be drowned in boots like mafia
But your feet will still float like Christ's
Well, I'll be damned
They were right
I'm drowning upside down
My feet afloat like Christ's
I'm in heaven trying to figure out which stack
They're going to stuff us Atheists into
And Peter and his monkey laugh and I'll laugh with them
I'm not sure what at
They point and say:
""We'll keep you in the back,""
Polishing halos, baking manna and gas
Well, some guy comes in looking a bit like everyone I ever seen
He moves just like Crisco disco
Breathin' a hundred percent Listerine
He says looking at something else but directing everything to me
""Any time anyone gets on their knees to pray
Well, it makes my telephone ring"" and I'll be damned
He said, ""You were right, no one's running this whole thing""
He had a theory, too
He said that God takes care of himself, God takes care of himself
And you of you
He said that God takes care of himself, God takes care of himself
And you of you
He said that God takes care of himself, God takes care of himself
And you of you
It's all nice, it's all nice
It's all nice on ice, alright
It's all nice, it's all nice
It's all nice on ice (On ice)
(On ice)
It's all nice, it's all nice
It's all nice on ice, alright
I said it's all nice, it's all nice
It's all nice on ice, alright
I said it's not day and it ain't night
It's all nice on ice, alright
Alright
It's all nice, it's all nice
It's all nice on ice, alright
It's all nice, it's all nice
It's all nice on ice, alright
It's all nice, it's all nice, it's all nice, it's all nice
It's all nice, it's all nice, it's all nice on ice
It's all nice on ice, alright
It's all nice
It's all nice on ice, alright
It's all nice on ice, alright
It's all nice, it's all nice
It's all nice on ice, alright
Well, it's all nice, it's all nice
It's all nice on ice, alright
Now it's all nice, it's all nice
It's all nice on ice, alright
It's all nice, it's all nice
It's all nice on ice, alright
""One, two, three
Four"""
19,19,The Good Times Are Killing Me,"The Good Times Are Killing Me Lyrics[Intro: The Flaming Lips]
Yeah dah dah dah dah... Is there an ashtray in here?
-Can we smoke in here?
-Yeah, Eric said it was in his pockets

The good times... (Yeah!)
Who needs the good times?
The good times are killing me

[Modest Mouse]
The good times are killing me
Here we go
[Verse 1]
Got dirt, got air, got water
And I know you can carry on
Shrugged off shortsighted false excitement
And oh what can I say?
Have one, have twenty more ""one mores""
And oh it does not relent

[Chorus]
The good times are killing me

[Verse 2]
Kick butt, buzz-cut dickheads
Who didn't like what I said
The good times are killing me
Jaws clenched tight, we talked all night
Oh but what the hell did we say?
The good times are killing me

[Chorus]
The good times are killing me
The good times are killing me

[Bridge]
Fed up with all that LSD
Need more sleep than coke or methamphetamines
Late nights with warm, warm whiskey
I guess the good times they were all just killing me
[Verse 3]
Got dirt, got air, got water
And I know you can carry on
The good times are killing me
Enough hair of the dog to make myself an entire rug
The good times are killing me
Have one, have twenty more ""one mores""
And oh it does not relent
The good times are killing me
Shit-kicker, city slickers who all wanted me dead
The good times are killing me
Get sucked in and stuck in late nights
With more folks that I don't know
The good times are killing me

[Chorus]
The good times are killing me
The good times are killing me
The good times are killing me

[Outro]
The good times are killing me
The good times are killing me
The good times are killing me
The good times are killing me
The good times are killing me
The good times are killing me
The good times are killing me
The good times are killing me11Embed",False,"Yeah dah dah dah dah... Is there an ashtray in here?
-Can we smoke in here?
-Yeah, Eric said it was in his pockets
The good times... (Yeah!)
Who needs the good times?
The good times are killing me
The good times are killing me
Here we go
Got dirt, got air, got water
And I know you can carry on
Shrugged off shortsighted false excitement
And oh what can I say?
Have one, have twenty more ""one mores""
And oh it does not relent
The good times are killing me
Kick butt, buzz-cut dickheads
Who didn't like what I said
The good times are killing me
Jaws clenched tight, we talked all night
Oh but what the hell did we say?
The good times are killing me
The good times are killing me
The good times are killing me
Fed up with all that LSD
Need more sleep than coke or methamphetamines
Late nights with warm, warm whiskey
I guess the good times they were all just killing me
Got dirt, got air, got water
And I know you can carry on
The good times are killing me
Enough hair of the dog to make myself an entire rug
The good times are killing me
Have one, have twenty more ""one mores""
And oh it does not relent
The good times are killing me
Shit-kicker, city slickers who all wanted me dead
The good times are killing me
Get sucked in and stuck in late nights
With more folks that I don't know
The good times are killing me
The good times are killing me
The good times are killing me
The good times are killing me
The good times are killing me
The good times are killing me
The good times are killing me
The good times are killing me
The good times are killing me
The good times are killing me
The good times are killing me
The good times are killing me"
20,20,Baby Blue Sedan,"Baby Blue Sedan Lyrics[Verse 1]
A nice heart and a white suit and a baby blue sedan
And I am doing the best that I can
All the eunuchs, they were standing in rows
Singing, ""Please stud us out just as fast as you possibly can""
Sad song, last dance, and no one knows who the band was
And Henry, you danced like a wooden Indian
She said this one mattered and I felt it had a spirit
And I shot the stork 'cause I didn't hear it that way

[Chorus]
And it's hard to be a human being
And it's harder as anything else
And I'm lonesome when you're around
And I'm never lonesome when I'm by myself
And I miss you when you're around
And I miss you when you're around
And I miss you when you're around
[Verse 2]
A nice heart and a white suit and a baby blue sedan
And I am doing the best that I can
All the eunuchs, they were standing in rows
Singing, ""Please stud us out just as fast as you possibly can""
Sad song, last dance, and no one knows who the band was
And Henry, you danced like a wooden Indian

[Chorus]
And it's hard to be a human being
And it's harder as anything else
And I'm lonesome when you're around
And I'm never lonesome when I'm by myself
And I miss you when you're around
And I miss you when you're around
And I miss you when you're around

[Outro]
A nice heart and a white suit and a baby blue sedan
A nice heart and a white suit and a baby blue sedan
A nice heart and a white suit and a baby blue sedan
A nice heart and a white suit and a baby blue sedan
A nice heart and a white suit and a baby blue sedan6Embed",False,"A nice heart and a white suit and a baby blue sedan
And I am doing the best that I can
All the eunuchs, they were standing in rows
Singing, ""Please stud us out just as fast as you possibly can""
Sad song, last dance, and no one knows who the band was
And Henry, you danced like a wooden Indian
She said this one mattered and I felt it had a spirit
And I shot the stork 'cause I didn't hear it that way
And it's hard to be a human being
And it's harder as anything else
And I'm lonesome when you're around
And I'm never lonesome when I'm by myself
And I miss you when you're around
And I miss you when you're around
And I miss you when you're around
A nice heart and a white suit and a baby blue sedan
And I am doing the best that I can
All the eunuchs, they were standing in rows
Singing, ""Please stud us out just as fast as you possibly can""
Sad song, last dance, and no one knows who the band was
And Henry, you danced like a wooden Indian
And it's hard to be a human being
And it's harder as anything else
And I'm lonesome when you're around
And I'm never lonesome when I'm by myself
And I miss you when you're around
And I miss you when you're around
And I miss you when you're around
A nice heart and a white suit and a baby blue sedan
A nice heart and a white suit and a baby blue sedan
A nice heart and a white suit and a baby blue sedan
A nice heart and a white suit and a baby blue sedan
A nice heart and a white suit and a baby blue sedan"
21,21,Lounge (Closing Time),"Lounge (Closing Time) Lyrics[Chorus]
She was going with a cinematographer
Everyone knew that he was really a pornographer
They went down to the dance and grind
And everybody was feeling fine
She was talking with a syllable lisp
And everybody she knew was gonna get the twist
And they all went down and did the porcupine
And everybody was feeling high

[Verse]
You are so hot
I would like to steal your digits
And I'm so hung up on it
I would like to move away from it
We are so caught up with things
We should pull each other's triggers
And I'm off
[Chorus]
She was going with a cinematographer
Everyone knew that he was really a pornographer
They went down to the dance and grind
And everybody was feeling fine
She was talking with a syllable lisp
And everybody she knew was gonna get the twist
And they all went down and did the porcupine
And everybody was feeling high
(You thought you were smokin')

[Bridge]
I've got a girlfriend out of the city
I know I like her, I think she is pretty
I've got a girlfriend out of the city
I know I like her, I think she is pretty
I've got a girlfriend out of the city
I know I like her, I think she is pretty
I've got a girlfriend out of the city
I know I like her, I think she is pretty

[Instrumental break]

[Outro]
(Last call)
It's closing time, it's closing
It's closing time
It's closing time, it's closing
It's closing time
It's closing time
I'm on the road to God, don't know
My brain's the burger and my heart's the charcoal
I'm on the road to God, don't know
My brain's the burger and my heart is the charcoal
It's closing time
It's closing time3Embed",False,"She was going with a cinematographer
Everyone knew that he was really a pornographer
They went down to the dance and grind
And everybody was feeling fine
She was talking with a syllable lisp
And everybody she knew was gonna get the twist
And they all went down and did the porcupine
And everybody was feeling high
You are so hot
I would like to steal your digits
And I'm so hung up on it
I would like to move away from it
We are so caught up with things
We should pull each other's triggers
And I'm off
She was going with a cinematographer
Everyone knew that he was really a pornographer
They went down to the dance and grind
And everybody was feeling fine
She was talking with a syllable lisp
And everybody she knew was gonna get the twist
And they all went down and did the porcupine
And everybody was feeling high
(You thought you were smokin')
I've got a girlfriend out of the city
I know I like her, I think she is pretty
I've got a girlfriend out of the city
I know I like her, I think she is pretty
I've got a girlfriend out of the city
I know I like her, I think she is pretty
I've got a girlfriend out of the city
I know I like her, I think she is pretty
(Last call)
It's closing time, it's closing
It's closing time
It's closing time, it's closing
It's closing time
It's closing time
I'm on the road to God, don't know
My brain's the burger and my heart's the charcoal
I'm on the road to God, don't know
My brain's the burger and my heart is the charcoal
It's closing time
It's closing time"
22,22,Doin’ the Cockroach,"Doin’ the Cockroach Lyrics[Verse 1]
I was in heaven, I was in hell
Believe in neither, but fear them as well
This one's a doctor, this one's a lawyer
This one's a cash thief, taking your money
Back in the Metro, ride on a Greyhound
Drunk on the Amtrak, please shut up
Another rider, he was a talker
Talking about TV, please shut up
This one's a crazer, daydreaming disaster
The origin of junk food, rutting through garbage
Tasty but worthless, dogs eat their own shit
We're doing the cockroach, yeah
[Chorus]
Doin' the cockroach, yeah
Doin' the cockroach, yeah, yeah
All right, not bad
Doin' the cockroach, yeah
Doin' the cockroach, yeah, yeah
All right, not bad
Doin' the cockroach, yeah
Doin' the cockroach, yeah, yeah
All right, not bad, not bad, go

[Verse 2]
One year, twenty years, forty years
Fifty years down the road in your life
You'll look in the mirror and say, ""My parents are still alive""

[Verse 3]
You move your mouth, you shake your tongue
You vibrate my eardrums
You're saying words but you know I ain't listening

[Verse 4]
You're walking down the street
Your face, your lips, your hips, your eyes, they meet
You're not hungry though
[Verse 5]
Well, late last winter, down below the equator
They had a summer that would make you blister
Oh, my mind is all made up, so I'll have to sleep in it
Well, late last winter, down below the equator
They had a summer that would make you blister
Oh, my mind is all made up, so I'll have to sleep in it
Well, late last winter
Down below the equator
They had a summer that would
Make you blister
And oh, my mind is all
Oh, my mind is all
Oh, my mind is all made up so I'll have to sleep in it

[Instrumental Outro]2Embed",False,"I was in heaven, I was in hell
Believe in neither, but fear them as well
This one's a doctor, this one's a lawyer
This one's a cash thief, taking your money
Back in the Metro, ride on a Greyhound
Drunk on the Amtrak, please shut up
Another rider, he was a talker
Talking about TV, please shut up
This one's a crazer, daydreaming disaster
The origin of junk food, rutting through garbage
Tasty but worthless, dogs eat their own shit
We're doing the cockroach, yeah
Doin' the cockroach, yeah
Doin' the cockroach, yeah, yeah
All right, not bad
Doin' the cockroach, yeah
Doin' the cockroach, yeah, yeah
All right, not bad
Doin' the cockroach, yeah
Doin' the cockroach, yeah, yeah
All right, not bad, not bad, go
One year, twenty years, forty years
Fifty years down the road in your life
You'll look in the mirror and say, ""My parents are still alive""
You move your mouth, you shake your tongue
You vibrate my eardrums
You're saying words but you know I ain't listening
You're walking down the street
Your face, your lips, your hips, your eyes, they meet
You're not hungry though
Well, late last winter, down below the equator
They had a summer that would make you blister
Oh, my mind is all made up, so I'll have to sleep in it
Well, late last winter, down below the equator
They had a summer that would make you blister
Oh, my mind is all made up, so I'll have to sleep in it
Well, late last winter
Down below the equator
They had a summer that would
Make you blister
And oh, my mind is all
Oh, my mind is all
Oh, my mind is all made up so I'll have to sleep in it"
23,23,Dark Center of the Universe,"Dark Center of the Universe Lyrics[Verse]
I might disintegrate into the thin air if you'd like
I'm not the dark center of the universe like you thought
And I might disintegrate into the thin air if you'd like
And I'm not the dark center of the universe like you thought

[Chorus 1]
Well, it took a lot of work to be the ass that I am
And I'm real damn sure that anyone can
Equally, easily fuck you over
[Chorus 2]
Well, God said something but didn't mean it
Everyone's life ends but no one ever completes it
Dry or wet ice, they both melt and you're equally cheated

[Chorus 1]
Well, it took a lot of work to be the ass that I am
And I'm real damn sure that anyone can
Equally, easily fuck you over

[Chorus 3]
Well an endless ocean landing on an endless desert
Well it's funny as hell, but no one laughs when they get there
If you can't see the thin air then why the hell should you care?

[Chorus 1]
Well, it took a lot of work to be the ass that I am
And I'm real damn sure that anyone can
Equally, easily fuck you over

[Chorus 4]
Well I'm sure you tell me you got nothing to say
But our voices shook hands the other day
If you can't see the thin air then what the hell is in the way?

[Verse]
I might disintegrate into the thin air if you'd like
And I'm not the dark center of the universe like you thought
[Chorus 1]
Well, it took a lot of work to be the ass that I am
And I'm real damn sure that anyone can
Equally, easily fuck you over

[Chorus 3]
Well an endless ocean landing on an endless desert
Well it's funny as hell, but no one laughs when they get there
If you can't see the thin air then why the hell should you care?

[Chorus 1]
Well, it took a lot of work to be the ass that I am
And I'm real damn sure that anyone can
Equally, easily fuck you over

[Chorus 2]
Well, God said something but didn't mean it
Everyone's life ends but no one ever completes it
Dry or wet ice, they both melt and you're equally cheated

[Chorus 1]
Well, it took a lot of work to be the ass that I am
And I'm real damn sure that anyone can
Equally, easily fuck you over

[Chorus 4]
Well I'm sure you tell me you got nothing to say
But our voices shook hands the other day
If you can't see the thin air then what the hell is in the way?1Embed",False,"I might disintegrate into the thin air if you'd like
I'm not the dark center of the universe like you thought
And I might disintegrate into the thin air if you'd like
And I'm not the dark center of the universe like you thought
Well, it took a lot of work to be the ass that I am
And I'm real damn sure that anyone can
Equally, easily fuck you over
Well, God said something but didn't mean it
Everyone's life ends but no one ever completes it
Dry or wet ice, they both melt and you're equally cheated
Well, it took a lot of work to be the ass that I am
And I'm real damn sure that anyone can
Equally, easily fuck you over
Well an endless ocean landing on an endless desert
Well it's funny as hell, but no one laughs when they get there
If you can't see the thin air then why the hell should you care?
Well, it took a lot of work to be the ass that I am
And I'm real damn sure that anyone can
Equally, easily fuck you over
Well I'm sure you tell me you got nothing to say
But our voices shook hands the other day
If you can't see the thin air then what the hell is in the way?
I might disintegrate into the thin air if you'd like
And I'm not the dark center of the universe like you thought
Well, it took a lot of work to be the ass that I am
And I'm real damn sure that anyone can
Equally, easily fuck you over
Well an endless ocean landing on an endless desert
Well it's funny as hell, but no one laughs when they get there
If you can't see the thin air then why the hell should you care?
Well, it took a lot of work to be the ass that I am
And I'm real damn sure that anyone can
Equally, easily fuck you over
Well, God said something but didn't mean it
Everyone's life ends but no one ever completes it
Dry or wet ice, they both melt and you're equally cheated
Well, it took a lot of work to be the ass that I am
And I'm real damn sure that anyone can
Equally, easily fuck you over
Well I'm sure you tell me you got nothing to say
But our voices shook hands the other day
If you can't see the thin air then what the hell is in the way?"
24,24,Custom Concern,"Custom Concern Lyrics[Verse 1]
The custom concern for the people
Build up the monuments and steeples to wear out our eyes

[Verse 2]
I get up just about noon
My head sends a message for me to reach for my shoes and then walk
Gotta go to work, gotta go to work, gotta have a job

[Verse 3]
Goes through the parking lot fields
Didn't see no signs that they would yield and then thought
This'll never end, this'll never end, this'll never stop
[Verse 4]
Message read on the bathroom wall
Said, ""I don't feel at all like I fall""
And we're losing all touch, losing all touch, building a desert6Embed",False,"The custom concern for the people
Build up the monuments and steeples to wear out our eyes
I get up just about noon
My head sends a message for me to reach for my shoes and then walk
Gotta go to work, gotta go to work, gotta have a job
Goes through the parking lot fields
Didn't see no signs that they would yield and then thought
This'll never end, this'll never end, this'll never stop
Message read on the bathroom wall
Said, ""I don't feel at all like I fall""
And we're losing all touch, losing all touch, building a desert"
25,25,Polar Opposites,"Polar Opposites Lyrics[Verse 1]
Polar opposites don't push away
It's the same on the weekends as the rest of the days
And I know I should go but I will probably stay
And that's all you can do about some things

[Chorus]
I'm tryin', I'm tryin' to
Drink away the part of the day that I cannot sleep away
I'm tryin', I'm tryin' to
Drink away the part of the day that I cannot sleep away
[Verse 2]
Two one-eyed dogs, they're looking at stereos
Hi-fi Gods try so hard to make their cars low to the ground
These vibrations oil its teeth
Primer gray is the color when you're done dying

[Chorus]
I'm tryin', I'm tryin' to
Drink away the part of the day that I cannot sleep away
I'm tryin', I'm tryin' to
Drink away the part of the day that I cannot sleep away

[Instrumental Outro]6Embed",False,"Polar opposites don't push away
It's the same on the weekends as the rest of the days
And I know I should go but I will probably stay
And that's all you can do about some things
I'm tryin', I'm tryin' to
Drink away the part of the day that I cannot sleep away
I'm tryin', I'm tryin' to
Drink away the part of the day that I cannot sleep away
Two one-eyed dogs, they're looking at stereos
Hi-fi Gods try so hard to make their cars low to the ground
These vibrations oil its teeth
Primer gray is the color when you're done dying
I'm tryin', I'm tryin' to
Drink away the part of the day that I cannot sleep away
I'm tryin', I'm tryin' to
Drink away the part of the day that I cannot sleep away"
